Grid5km,BCR
209162,11
209163,11
209164,11
209165,11
209166,11
209167,11
209580,11
209581,11
209582,11
209583,11
209584,11
209585,11
209586,11
209587,11
209588,11
209589,11
209590,11
209591,11
209592,11
209593,11
210000,11
210001,11
210002,11
210003,11
210004,11
210005,11
210006,11
210007,11
210008,11
210009,11
210010,11
210011,11
210012,11
210013,11
210014,11
210015,11
210420,11
210421,11
210422,11
210423,11
210424,11
210425,11
210426,11
210427,11
210428,11
210429,11
210430,11
210431,11
210432,11
210433,11
210434,11
210435,11
210436,11
210437,11
210438,11
210840,11
210841,11
210842,11
210843,11
210844,11
210845,11
210846,11
210847,11
210848,11
210849,11
210850,11
210851,11
210852,11
210853,11
210854,11
210855,11
210856,11
210857,11
210858,11
211260,11
211261,11
211262,11
211263,11
211264,11
211265,11
211266,11
211267,11
211268,11
211269,11
211270,11
211271,11
211272,11
211273,11
211274,11
211275,11
211276,11
211277,11
211278,11
211279,11
211280,11
211629,11
211630,11
211631,11
211632,11
211633,11
211634,11
211635,11
211636,11
211679,11
211680,11
211681,11
211682,11
211683,11
211684,11
211685,11
211686,11
211687,11
211688,11
211689,11
211690,11
211691,11
211692,11
211693,11
211694,11
211695,11
211696,11
211697,11
211698,11
211699,11
211700,11
211701,11
212045,11
212046,11
212047,11
212048,11
212049,11
212050,11
212051,11
212052,11
212053,11
212054,11
212055,11
212056,11
212057,11
212058,11
212059,11
212060,11
212100,11
212101,11
212102,11
212103,11
212104,11
212105,11
212106,11
212107,11
212108,11
212109,11
212110,11
212111,11
212112,11
212113,11
212114,11
212115,11
212116,11
212117,11
212118,11
212119,11
212120,11
212121,11
212122,11
212466,11
212467,11
212468,11
212469,11
212470,11
212471,11
212472,11
212473,11
212474,11
212475,11
212476,11
212477,11
212478,11
212479,11
212480,11
212481,11
212482,11
212483,11
212520,11
212521,11
212522,11
212523,11
212524,11
212525,11
212526,11
212527,11
212528,11
212529,11
212530,11
212531,11
212532,11
212533,11
212534,11
212535,11
212536,11
212537,11
212538,11
212539,11
212540,11
212541,11
212542,11
212543,11
212887,11
212888,11
212889,11
212890,11
212891,11
212892,11
212893,11
212894,11
212895,11
212896,11
212897,11
212898,11
212899,11
212900,11
212901,11
212902,11
212903,11
212904,11
212905,11
212906,11
212907,11
212941,11
212942,11
212943,11
212944,11
212945,11
212946,11
212947,11
212948,11
212949,11
212950,11
212951,11
212952,11
212953,11
212954,11
212955,11
212956,11
212957,11
212958,11
212959,11
212960,11
212961,11
212962,11
212963,11
212964,11
212965,11
213310,11
213311,11
213312,11
213313,11
213314,11
213315,11
213316,11
213317,11
213318,11
213319,11
213320,11
213321,11
213322,11
213323,11
213324,11
213325,11
213326,11
213327,11
213328,11
213329,11
213330,11
213361,11
213362,11
213363,11
213364,11
213365,11
213366,11
213367,11
213368,11
213369,11
213370,11
213371,11
213372,11
213373,11
213374,11
213375,11
213376,11
213377,11
213378,11
213379,11
213380,11
213381,11
213382,11
213383,11
213384,11
213385,11
213386,11
213733,11
213734,11
213735,11
213736,11
213737,11
213738,11
213739,11
213740,11
213741,11
213742,11
213743,11
213744,11
213745,11
213746,11
213747,11
213748,11
213749,11
213750,11
213751,11
213752,11
213782,11
213783,11
213784,11
213785,11
213786,11
213787,11
213788,11
213789,11
213790,11
213791,11
213792,11
213793,11
213794,11
213795,11
213796,11
213797,11
213798,11
213799,11
213800,11
213801,11
213802,11
213803,11
213804,11
213805,11
213806,11
213807,11
214154,11
214155,11
214156,11
214157,11
214158,11
214159,11
214160,11
214161,11
214162,11
214163,11
214164,11
214165,11
214166,11
214167,11
214168,11
214169,11
214170,11
214171,11
214172,11
214173,11
214174,11
214202,11
214203,11
214204,11
214205,11
214206,11
214207,11
214208,11
214209,11
214210,11
214211,11
214212,11
214213,11
214214,11
214215,11
214216,11
214217,11
214218,11
214219,11
